LOCATION,INDICATOR,TIME,Value
GRC,GGNLEND,2021,-7.141339265
GRC,GGNLEND,2022,-2.272266721
HUN,GGNLEND,2000,-3.04138711
HUN,GGNLEND,2001,-3.999402547
HUN,GGNLEND,2002,-8.79771369
HUN,GGNLEND,2003,-7.183074803
HUN,GGNLEND,2004,-6.590602139
HUN,GGNLEND,2005,-7.778838879
HUN,GGNLEND,2006,-9.259770497
HUN,GGNLEND,2007,-5.083005146
HUN,GGNLEND,2008,-3.78258025
HUN,GGNLEND,2009,-4.74977052
HUN,GGNLEND,2010,-4.426912436
HUN,GGNLEND,2011,-5.211393486
HUN,GGNLEND,2012,-2.32436313
HUN,GGNLEND,2013,-2.597482932
HUN,GGNLEND,2014,-2.774840117
HUN,GGNLEND,2015,-2.003997659
HUN,GGNLEND,2016,-1.79684531
HUN,GGNLEND,2017,-2.459092185
HUN,GGNLEND,2018,-2.056618352
HUN,GGNLEND,2019,-2.046677188
HUN,GGNLEND,2020,-7.522753493
HUN,GGNLEND,2021,-7.149166059
HUN,GGNLEND,2022,-6.243701213
ISL,GGNLEND,2000,1.445935647
ISL,GGNLEND,2001,-0.280551601
ISL,GGNLEND,2002,-2.274025518
ISL,GGNLEND,2003,-2.323821139
ISL,GGNLEND,2004,0.28647758
ISL,GGNLEND,2005,5.006457976
ISL,GGNLEND,2006,6.449415393
ISL,GGNLEND,2007,5.598673365
ISL,GGNLEND,2008,-12.13839324
ISL,GGNLEND,2009,-8.579472181
ISL,GGNLEND,2010,-6.663496314
ISL,GGNLEND,2011,-6.53001155
ISL,GGNLEND,2012,-2.624618817
ISL,GGNLEND,2013,-1.247701106
ISL,GGNLEND,2014,0.294975994
ISL,GGNLEND,2015,-0.395505063
ISL,GGNLEND,2016,12.54930655
ISL,GGNLEND,2017,0.954938973
ISL,GGNLEND,2018,0.912125901
ISL,GGNLEND,2019,-1.523758635
ISL,GGNLEND,2020,-8.983715847
ISL,GGNLEND,2021,-8.387621756
ISL,GGNLEND,2022,-4.29472886
IRL,GGNLEND,2000,4.855279979
IRL,GGNLEND,2001,0.95933158
IRL,GGNLEND,2002,-0.519318144
IRL,GGNLEND,2003,0.346072496
IRL,GGNLEND,2004,1.298192899
IRL,GGNLEND,2005,1.570419117
IRL,GGNLEND,2006,2.775375447
IRL,GGNLEND,2007,0.267834586
IRL,GGNLEND,2008,-7.030558679
IRL,GGNLEND,2009,-13.87281724
IRL,GGNLEND,2010,-32.11877136
IRL,GGNLEND,2011,-13.58185161
IRL,GGNLEND,2012,-8.463425458
IRL,GGNLEND,2013,-6.394519224
IRL,GGNLEND,2014,-3.612441286
IRL,GGNLEND,2015,-2.03731586
IRL,GGNLEND,2016,-0.766765019
IRL,GGNLEND,2017,-0.288981296
IRL,GGNLEND,2018,0.133964513
IRL,GGNLEND,2019,0.468135264
IRL,GGNLEND,2020,-5.009103221
IRL,GGNLEND,2021,-1.596526965
IRL,GGNLEND,2022,1.598172244
ITA,GGNLEND,2000,-2.42333366
ITA,GGNLEND,2001,-3.190309483
ITA,GGNLEND,2002,-2.869301584
ITA,GGNLEND,2003,-3.21762521
ITA,GGNLEND,2004,-3.478850032
ITA,GGNLEND,2005,-4.082522688
ITA,GGNLEND,2006,-3.616569678
ITA,GGNLEND,2007,-1.340256786
ITA,GGNLEND,2008,-2.563901532
ITA,GGNLEND,2009,-5.121045989
ITA,GGNLEND,2010,-4.239736448
ITA,GGNLEND,2011,-3.593012379
ITA,GGNLEND,2012,-2.945408548
ITA,GGNLEND,2013,-2.854252853
ITA,GGNLEND,2014,-2.954395634
ITA,GGNLEND,2015,-2.552201794
ITA,GGNLEND,2016,-2.403898886
ITA,GGNLEND,2017,-2.419104813
ITA,GGNLEND,2018,-2.165134387
ITA,GGNLEND,2019,-1.507417839
ITA,GGNLEND,2020,-9.655694071
ITA,GGNLEND,2021,-9.017856374
ITA,GGNLEND,2022,-7.956405393
JPN,GGNLEND,2005,-4.438461521
JPN,GGNLEND,2006,-3.028756085
JPN,GGNLEND,2007,-2.901025568
JPN,GGNLEND,2008,-4.109629009
JPN,GGNLEND,2009,-9.693024425
JPN,GGNLEND,2010,-9.075830425
JPN,GGNLEND,2011,-8.985525951
JPN,GGNLEND,2012,-8.196478264
JPN,GGNLEND,2013,-7.611412292
JPN,GGNLEND,2014,-5.616110684
JPN,GGNLEND,2015,-3.677846107
JPN,GGNLEND,2016,-3.599572786
JPN,GGNLEND,2017,-3.098741034
JPN,GGNLEND,2018,-2.471407852
JPN,GGNLEND,2019,-3.044590641
JPN,GGNLEND,2020,-9.077053898
JPN,GGNLEND,2021,-6.200051585
KOR,GGNLEND,2000,4.166600167
KOR,GGNLEND,2001,2.907154282
KOR,GGNLEND,2002,3.111254626
KOR,GGNLEND,2003,-2.133024428
KOR,GGNLEND,2004,-0.077968894
KOR,GGNLEND,2005,1.351823045
KOR,GGNLEND,2006,1.969050364
KOR,GGNLEND,2007,3.957316235
KOR,GGNLEND,2008,2.131281263
KOR,GGNLEND,2009,-1.276212665
KOR,GGNLEND,2010,0.882973016
KOR,GGNLEND,2011,0.983334596
KOR,GGNLEND,2012,1.01793514
KOR,GGNLEND,2013,1.283412505
KOR,GGNLEND,2014,1.212320023
KOR,GGNLEND,2015,1.180413703
KOR,GGNLEND,2016,2.209188343
KOR,GGNLEND,2017,2.681835173
KOR,GGNLEND,2018,3.024872186
KOR,GGNLEND,2019,0.955750489
KOR,GGNLEND,2020,-2.694960268
KOR,GGNLEND,2021,-0.751132668
LUX,GGNLEND,2000,5.544933885
LUX,GGNLEND,2001,5.62665932
LUX,GGNLEND,2002,2.030978733
LUX,GGNLEND,2003,0.27295999
LUX,GGNLEND,2004,-1.393325793
LUX,GGNLEND,2005,-0.207820181
LUX,GGNLEND,2006,1.91157027
LUX,GGNLEND,2007,4.362930323
LUX,GGNLEND,2008,3.373943712
LUX,GGNLEND,2009,-0.209983201
LUX,GGNLEND,2010,-0.317479671
LUX,GGNLEND,2011,0.658409701
LUX,GGNLEND,2012,0.506445417
LUX,GGNLEND,2013,0.843740323
LUX,GGNLEND,2014,1.338815024
LUX,GGNLEND,2015,1.334058484
LUX,GGNLEND,2016,1.892966682
LUX,GGNLEND,2017,1.366849959
LUX,GGNLEND,2018,2.976855205
LUX,GGNLEND,2019,2.240114838
LUX,GGNLEND,2020,-3.425387761
LUX,GGNLEND,2021,0.718085343
LUX,GGNLEND,2022,0.176346852
NLD,GGNLEND,2000,1.187149757
NLD,GGNLEND,2001,-0.43807496
NLD,GGNLEND,2002,-2.024995161
NLD,GGNLEND,2003,-3.089838342
NLD,GGNLEND,2004,-1.786746674
NLD,GGNLEND,2005,-0.471424967
NLD,GGNLEND,2006,-0.032674931
NLD,GGNLEND,2007,-0.231923381
NLD,GGNLEND,2008,0.124691362
NLD,GGNLEND,2009,-5.216678776
NLD,GGNLEND,2010,-5.339595455
NLD,GGNLEND,2011,-4.442161944
NLD,GGNLEND,2012,-3.931751424
NLD,GGNLEND,2013,-2.956713699
NLD,GGNLEND,2014,-2.253856692
NLD,GGNLEND,2015,-1.943600654
NLD,GGNLEND,2016,0.12691699
NLD,GGNLEND,2017,1.371137959
NLD,GGNLEND,2018,1.502350815
NLD,GGNLEND,2019,1.79914028
NLD,GGNLEND,2020,-3.71461213
NLD,GGNLEND,2021,-2.368054987
NLD,GGNLEND,2022,0.009349905
NOR,GGNLEND,2000,15.04639753
NOR,GGNLEND,2001,13.17316309
NOR,GGNLEND,2002,9.026912467
NOR,GGNLEND,2003,7.204566235
NOR,GGNLEND,2004,10.8347692
NOR,GGNLEND,2005,14.72085895
NOR,GGNLEND,2006,17.88148616
NOR,GGNLEND,2007,17.03772688
NOR,GGNLEND,2008,18.53081554
NOR,GGNLEND,2009,10.19452296
NOR,GGNLEND,2010,10.87143345
NOR,GGNLEND,2011,13.27289764
NOR,GGNLEND,2012,13.67954351
NOR,GGNLEND,2013,10.60839682
NOR,GGNLEND,2014,8.571986124
NOR,GGNLEND,2015,5.987477409
