location,INDICATOR,TIME,Value
NZL,TAXREV,2013,30.462
NZL,TAXREV,2014,31.192
NZL,TAXREV,2015,31.487
NZL,TAXREV,2016,31.405
NZL,TAXREV,2017,31.313
NZL,TAXREV,2018,32.192
NZL,TAXREV,2019,31.264
NZL,TAXREV,2020,33.803
NZL,TAXREV,2021,33.784
NOR,TAXREV,2000,41.664
NOR,TAXREV,2001,41.879
NOR,TAXREV,2002,42.221
NOR,TAXREV,2003,41.566
NOR,TAXREV,2004,42.317
NOR,TAXREV,2005,42.549
NOR,TAXREV,2006,42.708
NOR,TAXREV,2007,42.009
NOR,TAXREV,2008,41.269
NOR,TAXREV,2009,41.11
NOR,TAXREV,2010,41.804
NOR,TAXREV,2011,41.921
NOR,TAXREV,2012,41.409
NOR,TAXREV,2013,39.818
NOR,TAXREV,2014,38.748
NOR,TAXREV,2015,38.421
NOR,TAXREV,2016,38.878
NOR,TAXREV,2017,38.78
NOR,TAXREV,2018,39.368
NOR,TAXREV,2019,40.069
NOR,TAXREV,2020,38.796
NOR,TAXREV,2021,42.241
POL,TAXREV,2000,32.872
POL,TAXREV,2001,32.829
POL,TAXREV,2002,32.969
POL,TAXREV,2003,32.443
POL,TAXREV,2004,31.935
POL,TAXREV,2005,32.965
POL,TAXREV,2006,33.632
POL,TAXREV,2007,34.634
POL,TAXREV,2008,34.281
POL,TAXREV,2009,31.368
POL,TAXREV,2010,31.327
POL,TAXREV,2011,31.829
POL,TAXREV,2012,32.165
POL,TAXREV,2013,32.069
POL,TAXREV,2014,32.07
POL,TAXREV,2015,32.426
POL,TAXREV,2016,33.371
POL,TAXREV,2017,34.118
POL,TAXREV,2018,35.143
POL,TAXREV,2019,35.106
POL,TAXREV,2020,35.54
POL,TAXREV,2021,36.768
PRT,TAXREV,2000,30.92
PRT,TAXREV,2001,30.707
PRT,TAXREV,2002,31.139
PRT,TAXREV,2003,30.108
PRT,TAXREV,2004,30.224
PRT,TAXREV,2005,30.943
PRT,TAXREV,2006,31.412
PRT,TAXREV,2007,31.846
PRT,TAXREV,2008,31.739
PRT,TAXREV,2009,29.796
PRT,TAXREV,2010,30.366
PRT,TAXREV,2011,32.228
PRT,TAXREV,2012,31.667
PRT,TAXREV,2013,33.968
PRT,TAXREV,2014,34.182
PRT,TAXREV,2015,34.382
PRT,TAXREV,2016,34.051
PRT,TAXREV,2017,34.112
PRT,TAXREV,2018,34.656
PRT,TAXREV,2019,34.498
PRT,TAXREV,2020,35.255
PRT,TAXREV,2021,35.769
SVK,TAXREV,2000,33.633
SVK,TAXREV,2001,32.705
SVK,TAXREV,2002,32.828
SVK,TAXREV,2003,32.552
SVK,TAXREV,2004,31.531
SVK,TAXREV,2005,31.291
SVK,TAXREV,2006,29.333
SVK,TAXREV,2007,29.22
SVK,TAXREV,2008,29.066
SVK,TAXREV,2009,28.891
SVK,TAXREV,2010,27.973
SVK,TAXREV,2011,29
SVK,TAXREV,2012,28.823
SVK,TAXREV,2013,31.1
SVK,TAXREV,2014,31.971
SVK,TAXREV,2015,32.607
SVK,TAXREV,2016,33.173
SVK,TAXREV,2017,34.058
SVK,TAXREV,2018,34.17
SVK,TAXREV,2019,34.55
SVK,TAXREV,2020,35.188
SVK,TAXREV,2021,35.781
ESP,TAXREV,2000,33.05
ESP,TAXREV,2001,32.796
ESP,TAXREV,2002,33.244
ESP,TAXREV,2003,33.095
ESP,TAXREV,2004,34.042
ESP,TAXREV,2005,35.243
ESP,TAXREV,2006,35.999
ESP,TAXREV,2007,36.414
ESP,TAXREV,2008,32.103
ESP,TAXREV,2009,29.679
ESP,TAXREV,2010,31.282
ESP,TAXREV,2011,31.19
ESP,TAXREV,2012,32.368
ESP,TAXREV,2013,33.115
ESP,TAXREV,2014,33.887
ESP,TAXREV,2015,33.842
ESP,TAXREV,2016,33.597
ESP,TAXREV,2017,33.87
ESP,TAXREV,2018,34.662
ESP,TAXREV,2019,34.695
ESP,TAXREV,2020,36.719
ESP,TAXREV,2021,38.35
SWE,TAXREV,2000,50.03
SWE,TAXREV,2001,47.123
SWE,TAXREV,2002,45.127
SWE,TAXREV,2003,45.526
SWE,TAXREV,2004,45.944
SWE,TAXREV,2005,47.305
